,modelname,check,check_compound,checkTF,checkTF_compound,norm,norm_compound,lognorm,lognorm_compound,normX,normX_compound,lognormX,lognormX_compound,alpha,alpha_compound,alpha_weighted,alpha_weighted_compound,spectralnorm,spectralnorm_compound,logspectralnorm,logspectralnorm_compound,softrank,softrank_compound,softranklog,softranklog_compound,softranklogratio,softranklogratio_compound,sigma_mp,sigma_mp_compound,numofSpikes,numofSpikes_compound,ratio_numofSpikes,ratio_numofSpikes_compound,softrank_mp,softrank_mp_compound,logpnorm,logpnorm_compound
162,resnetbc38b,1.374948091819471,0.3159865068711622,0.6344086021505376,0.2905733722060252,7.611894607543945,7.443986892700195,0.8370388150215149,0.81377112865448,7.708211898803711,6.333154678344727,0.8194394111633301,0.6976850032806396,3.472431126689421,4.26442998274542,1.497542489599043,1.114101538810241,11.80761337280273,3.569457292556763,0.6341737508773804,0.3023531436920166,22.88983421302169,29.29028071675208,1.225245216255537,1.345853249153655,2.901899337768555,0.1518688052892685,0.8496832587249089,0.6039104976498985,5.160583941605839,16.11653116531166,0.02410785712705845,0.07142081498983414,1.101619125571271,0.7071115470358573,1.950706814234034,1.499086782572841
163,resnet50,1.204855735790636,0.2847366623915155,0.6608695652173913,0.2942806752330562,6.840793132781982,6.719611167907715,0.8052597641944885,0.7873344421386719,6.05027961730957,5.114301204681396,0.7231175303459167,0.626907229423523,3.434890474135239,4.219232105878453,1.025607546225351,0.6617342230861133,9.784131050109863,2.850978136062622,0.5088925957679749,0.21235291659832,22.43600901268121,28.55209596238737,1.281196867537072,1.380343655662533,2.006314277648926,6.279549598693848,0.8397058240353075,0.5863268275230937,4.574585635359116,14.76729559748428,0.02004176273577229,0.06227617632838065,1.452210094545906,0.8281903734963858,1.513052266789733,1.073377148750892
164,resnet50b,1.161823680549266,0.2772448444438507,0.6739130434782609,0.2987738305198622,6.829906940460205,6.653233528137207,0.7962172627449036,0.7712811231613159,6.228249073028564,5.131706237792969,0.7334437966346741,0.6117681264877319,3.421927776420214,4.398268922606987,1.110718866683353,0.6193779297356604,9.25175952911377,2.753518581390381,0.5206722021102905,0.1968506872653961,22.52889274442329,29.41747397380758,1.24058248556854,1.363519294952786,3.650115728378296,2.180607557296753,0.8420911251510707,0.5792042499918109,4.580110497237569,15.08805031446541,0.02199580150078647,0.07146967853561381,1.315787204531446,0.790308208995138,1.609921725113914,1.040396135734043
165,resnet101,0.8961147960834899,0.2254832854476745,0.3237410071942446,0.137674117265954,5.788948535919189,5.670934677124023,0.735109269618988,0.7119128704071045,4.989689826965332,4.422818660736084,0.6145302653312683,0.5081157088279724,3.093836634459338,3.596958448792008,0.6333789394846044,0.1959383796102714,7.804024696350098,2.136697053909302,0.3693773150444031,0.08471233397722244,19.81792149127093,26.03022156860292,1.234079592069791,1.351421672225273,28.08769607543945,10.24132442474365,0.8309473999686865,0.5398685976990268,6.478260869565218,22.2051282051282,0.02529832737338329,0.08430572486688383,1.691507351616625,0.8726247143533272,1.164227855444471,0.7549950397553306
166,resnet101b,0.9154084524641596,0.2336251901232358,0.4316546762589928,0.187884677680596,5.954574108123779,5.676142692565918,0.758125901222229,0.729591965675354,4.735220432281494,3.826727151870728,0.6220472455024719,0.505711555480957,3.154771534159464,3.678151234141109,0.6329222719561417,0.1574461172253397,7.518426418304443,2.077017068862915,0.3558006882667542,0.0794091746211052,22.58413547102014,28.34684634599126,1.290022291332214,1.391727033595627,6.267444610595703,1.203793287277222,0.8305912581734036,0.5497843685313168,3.855978260869565,13.24252136752137,0.01810139689018748,0.06058411733874847,1.694859288511962,0.9108106079432188,1.173680505679502,0.6709876669320535
167,resnet152,0.6551860704123772,0.1803911010513229,0.1672185430463576,0.06844874702017559,4.698267936706543,4.574328899383545,0.6579472422599792,0.6361406445503235,3.234004259109497,2.661432266235352,0.4551160633563995,0.351339191198349,3.372936614009439,3.57084342528935,0.1911767568893364,-0.2546040652234579,4.638983726501465,1.382468819618225,0.1989806145429611,-0.04289697855710983,18.55317641492135,24.29152385370868,1.209668086755968,1.32350703344644,3.040053367614746,-5.079285144805908,0.81593664440808,0.522521970031082,3.0,10.44372759856631,0.01516646066605058,0.05201686641285232,2.212047285277018,1.11399388831977,0.6179821796063749,0.2345897837482976
168,resnet152b,0.7365802866712677,0.1987679309281646,0.2433774834437086,0.1029565672422815,5.119245529174805,4.865290641784668,0.6930967569351196,0.6634352207183838,3.761070013046265,3.025116682052612,0.5167582631111145,0.3996816277503967,2.93129411243366,3.300554202715417,0.3559130971673449,-0.09179438103081518,6.053276538848877,1.695852994918823,0.2458231300115585,-4.550279845716432e-05,19.83875287559939,24.42184497396806,1.23911679434886,1.335680367501529,148.1052398681641,55.41265869140625,0.8210805598078548,0.5301398225736447,3.228828828828829,11.30322580645161,0.01568572670556708,0.0536782854628997,2.022837773832518,1.035681546019435,0.8921833545415225,0.4408094112045277
169,preresnet10,2.836572492539408,1.255350513970196,0.448,0.4786324786324786,12.32080364227295,11.82429981231689,1.062263011932373,0.99802565574646,24.12981986999512,21.31943702697754,1.323608040809631,1.149129629135132,2.836689974784218,3.028009102263231,3.053772311931934,2.530674213760128,36.80831146240234,15.80830860137939,1.283657073974609,0.8821722269058228,13.07904729468859,18.74083329012062,1.077412266192069,1.177908232914398,2.40089225769043,4.354718685150146,0.9463978656969576,0.8300619167751737,11.52631578947368,16.03703703703704,0.08301285699056904,0.08522092511438728,0.3278070199358472,0.356204356237267,3.439285842852995,2.95042069890078
170,preresnet12,2.434501881813113,1.193453246054692,0.5664335664335665,0.6,10.99476623535156,10.87431907653809,1.00872790813446,0.9660100340843201,20.17719078063965,18.62138748168945,1.238310575485229,1.106660008430481,2.891292219305942,2.985164505884793,2.857103643410038,2.43562150041257,29.1226978302002,13.27952766418457,1.1679847240448,0.831981897354126,12.40180172409005,17.91594188048034,1.05234772488042,1.151836599902071,1.966146945953369,1.152949571609497,0.9470837402343752,0.8484058198474703,8.797872340425531,12.78571428571429,0.06622562054929583,0.07000417316381044,0.4139000024987718,0.4306451960882527,3.221269481150316,2.855260900708806
171,preresnet14,2.213705525031523,1.140293839702526,0.6335403726708074,0.6666666666666666,10.27484035491943,10.2740306854248,0.9821744561195374,0.9490804672241211,17.38881492614746,16.4124755859375,1.176024079322815,1.06956958770752,3.069934424676515,3.275300885480413,2.752787373269779,2.389840211311799,24.32687759399414,11.28463745117188,1.073012113571167,0.775271475315094,13.31757703349566,18.71749230419614,1.084630222503275,1.169101052790238,2.253788709640503,1.9166259765625,0.9454123142787391,0.8588296678331164,6.267857142857143,9.26388888888889,0.04822844716932543,0.05138165618320899,0.5158077791442974,0.5132584211045647,3.139427436529261,2.79846505905168
172,preresnetbc14b,2.993719073246412,0.560685293547773,0.3571428571428572,0.2160493827160494,10.68460655212402,10.70019912719727,0.9983828663825989,0.9731040000915527,15.15952301025391,12.60752296447754,1.121481895446777,0.9793590307235718,3.280154208911187,3.999502642520261,2.362547780622941,1.987203366695011,34.72118377685547,8.4497709274292,1.184202671051025,0.6106939315795898,22.09397090677474,33.96599601640801,1.222635223891589,1.393313445842694,2.925652980804443,3.82050895690918,0.8794187460140307,0.6939761731515524,9.571428571428571,22.04575163398693,0.04491784556769322,0.07618640068891039,0.539023485266673,0.4674243389520563,2.79174857138327,2.410700055138063
173,preresnet16,2.007033690054498,1.067205284390818,0.6759776536312849,0.7076023391812865,9.850943565368652,9.820075035095215,0.9659503698348999,0.9355949759483337,14.7304859161377,14.02982711791992,1.114419221878052,1.024420261383057,3.218669413231889,3.343989499603441,2.636530678613203,2.34313465907536,20.26744651794434,9.204136848449707,0.9904709458351135,0.7189674377441406,15.09152801752912,20.20174044439358,1.129532051244741,1.195022016514046,-3.029307842254639,-37.49797058105469,0.9319419133112982,0.8563546941309801,4.753846153846154,6.333333333333333,0.03633556063968418,0.03887409414100393,0.5951002037555114,0.5784063970809747,3.015958918534913,2.748755925860812
174,preresnet18_wd4,2.00744610739455,1.234369858576549,0.5,0.4876314162028448,10.96448612213135,11.61892986297607,0.9947129487991333,0.990003228187561,20.41142082214355,20.27983093261719,1.206775784492493,1.147778391838074,3.418538582229648,3.917443885259357,3.178008520250206,2.864868287861923,17.78146553039551,9.02337646484375,0.9401434063911438,0.7105937600135803,12.90769628840265,20.94976261971726,1.062332936528152,1.190680293925421,-0.3659506142139435,-14.67453193664551,0.9704245873653529,0.8941800706651477,9.924242424242424,17.32222222222222,0.0888322178905719,0.1052443977227352,0.4722955669949335,0.4710695626531337,3.482573017742308,3.231410416830784
